,id,createdtime,username,tweets
166,1.40E+18,15-06-2021 12:18,wxh17521,thank you for making this opportunity  hopefully this project will be successful   degea  goog
167,1.40E+18,15-06-2021 12:11,Jitendr43864412,good project hope this project go to the moon and make people happy  ilyes
168,1.40E+18,15-06-2021 12:09,AlifNurulHakim1,nice project     goog
169,1.40E+18,15-06-2021 12:05,Alain_BKK,airdrop  google coin airdrop  googcommunity token created for user and fans of internet using the service provider by googl
170,1.40E+18,15-06-2021 12:00,PowerCryptoClub,airdrop  google coin airdrop  googcommunity token created for user and fans of internet using the service provider by google   reward            referral           airdrop bot
171,1.40E+18,15-06-2021 11:56,AlekseyStaks,good project and strong team  in predictable and transparent road map  planned and projected  think in
172,1.40E+18,15-06-2021 11:56,AlekseyStaks,good project and strong team  in predictable and transparent road map  planned and projected  think in the near future will see an authentic growth of this project yokarasi  goog
173,1.40E+18,15-06-2021 11:56,jhonxinn,let  build strong community with this one guys  this is prommised project       goog
174,1.40E+18,15-06-2021 11:34,IlhamzRizky,this is great project  because it will be very profitable  and this project might compete with others  maybe it could be superior to the others could be very useful  good luck  goog
175,1.40E+18,15-06-2021 11:22,coinvizyonu,this project looks very interesting  am interested  and will support this project until it succeeds according to the plan that has been set   goog
176,1.40E+18,15-06-2021 11:18,GilangE21608307,good project  goog
177,1.40E+18,15-06-2021 11:17,Kukuk112,let  participate this is good projectrocketrocketrocket
178,1.40E+18,15-06-2021 11:10,EmircanYat,this is great project  because it will be very profitable  and this project might compete with others  maybe it could be superior to the others could be very useful  good luck  doii  goog
179,1.40E+18,15-06-2021 11:08,kbjdove1,hello      this project looks very interesting  am interested  and will support this project until it succeeds according to the plan that has been set   goog
180,1.40E+18,15-06-2021 10:07,Cupengcupu,this project looks very interesting  am interested  and will support this project until it succeeds according to the plan that has been set   garpit  goog
181,1.40E+18,15-06-2021 09:55,Ardanbourne4,the project is implemented very professionally and has clear development plan without doubt  this is one of the best projects out there love this project moon  goog
182,1.40E+18,15-06-2021 09:43,Vik474,the project is implemented very professionally and has clear development plan without doubt  this is one of the best projects out there    goog
183,1.40E+18,15-06-2021 09:25,GustiP20,the concept of this is project is excellent   goog is on many exchanges and in time it will break all the levels to be in galaxy  goog
184,1.40E+18,15-06-2021 09:22,YanaKontohod212,nice project        goog
185,1.40E+18,15-06-2021 09:17,AdamRam30439057,the concept of this is project is excellent  goog is on many exchanges and in time it will break all the levels to be in galaxy rocketrocket    goog
186,1.40E+18,15-06-2021 09:16,Saerozi17513124,good luck  togheter to the moon uzem
187,1.40E+18,15-06-2021 09:15,dailytradingapp,transformers augmented reality game coming from studio behind  pokemon go
188,1.40E+18,15-06-2021 09:10,ar071201,the concept of this is project is excellent   goog is on many exchanges and in time it will break all the levels to be in galaxy rocketrocket   goog
189,1.40E+18,15-06-2021 09:09,ArifiantoNofi,nice project and look forward to the growth and success of this project sin  goog
190,1.40E+18,15-06-2021 09:03,Dennisdenokk,leadership offers the opportunity to make difference in someone  life  whatever the project  will help this project to success   goog
191,1.40E+18,15-06-2021 09:01,Blue42557241,thank you for making this opportunity  hopefully this project will be successful  xyhm  goog
192,1.40E+18,15-06-2021 08:57,Safari67114749,very good project     bean  goog
193,1.40E+18,15-06-2021 08:55,Andri15879803,this is great project  good luck kencana  goog
194,1.40E+18,15-06-2021 08:53,SaifAli42221258,this is definitely going to be huge  as the team has been an inspiration in their innovative approach towards achiving the project goals and vision   am so glad to be part of this    goog
195,1.40E+18,15-06-2021 08:52,Rowel78802208,this is great project  good luck  goog
196,1.40E+18,15-06-2021 08:52,Nothing11078070,this is definitely going to be huge  as the team has been an inspiration in their innovative approaches towards achieving the project goals and visions   am so glad to be part of this  kevin  kevin  goog
197,1.40E+18,15-06-2021 08:50,pacilukba,the concept of this is project is excellent   goog is on many exchanges and in time it will break all the levels to be in galaxy rocketrocket ekhlas      goog
198,1.40E+18,15-06-2021 08:50,zexxyyy1,this is definitely going to be huge  as the team has been an inspiration in their innovative approaches towards achieving the project goals and visions   am so glad to be part of this   goog
199,1.40E+18,15-06-2021 08:50,Ale070191,hope this project success jamal  goog
200,1.40E+18,15-06-2021 08:49,DWIPRASETYOHAR2,the concept of this is project is excellent   goog is on many exchanges and in time it will break all the levels to be in galaxy rocketrocket  goog
201,1.40E+18,15-06-2021 08:49,FatkhurokhmanI,this is excellent project for the future with strong team  transparent  planned and project roadmap  it will be successfuli  always be waiting for the progress of this project  qohari  aji  goog
202,1.40E+18,15-06-2021 08:48,Tedjo222,to the moon        goog
203,1.40E+18,15-06-2021 08:47,Fenkwt8,this is great project  good luck  doii  goog
204,1.40E+18,15-06-2021 08:46,03Elon,guys  don  miss this opportunity  this project will be great investment for youclaim your airdropget ready for the moon     goog
205,1.40E+18,15-06-2021 08:46,Kshitij25310944,here comes backbone of the internet  grate project  nishan  goog
206,1.40E+18,15-06-2021 08:34,Heidihv1,don  miss the opportunity to own share of   or   open and fund brokerage account and receive free
207,1.40E+18,15-06-2021 07:50,JakobSilbermann,google cancels millions of adword accounts worldwide when the ads were paused for more than months due to the covid pandemic  is that in the interest of shareholders and advertisers
208,1.40E+18,15-06-2021 07:25,Aishu_voodari,is the future and the future is now
209,1.40E+18,15-06-2021 04:52,CYYVRwdbVkcwton,pay   in commissions  webull offers commission free trades on     and   you may be able to claim
