,id,createdtime,username,tweets
25,1.41E+18,21-06-2021 15:44,Malykhassan4,khan  let  move to the future world with   pakistani are catching up to cutting out edge tech   all credit goes to the future is here   first ever cricket nft     support pakistan
26,1.41E+18,21-06-2021 15:33,Malykhassan4,nft hub let  move to the future world with   pakistani are catching up to cutting out edge tech   all credit goes to the future is here   first ever cricket nft     support pakistan
27,1.41E+18,21-06-2021 15:31,SHAHBAZ0004,this is very big news regarding crypto in pakistan  is
28,1.41E+18,21-06-2021 15:30,Malykhassan4,let  move to the future world with   pakistani are catching up to cutting out edge tech   all cre
29,1.41E+18,21-06-2021 15:25,Malykhassan4,let  move to the future world with   pakistani are catching up to cutting out edge tec
30,1.41E+18,21-06-2021 15:23,Malykhassan4,let  move to the future world with   pakistani are catching up to cutting out edge tech
31,1.41E+18,21-06-2021 15:15,sohail_huzaifa,proudly the very own exchange of pakistan  the international community should cover the progressive face of pakistan and
32,1.41E+18,21-06-2021 15:10,MohaddisSyed,proudly the very own exchange of pakistan  the international community should cover the progressive face of pakistan and should support it
33,1.41E+18,21-06-2021 15:09,ghafoorammar5,this is very big news regarding crypto in pakistan  is going to launch first cricket nft
34,1.41E+18,21-06-2021 15:09,Ghazal37556537,follow me will follow back
35,1.41E+18,21-06-2021 15:04,Malykhassan4,let  move to the future world with   pakistani are catching up to cutting out edge tech   al
36,1.41E+18,21-06-2021 14:59,Malykhassan4,let  move to the future world with   pakistani are catching up to cutting out edge tech   all credit go
37,1.41E+18,21-06-2021 14:59,Malykhassan4,let  move to the future world with   pakistani are catching up to cutting out edge tech   all credit goes to the future is here   first ever cricket nft     support pakistan
38,1.41E+18,21-06-2021 14:49,AdeelHayatKhan5,why this is not big news that pakistani crypto exchange is launching and first pakistani nft will be launched by
39,1.41E+18,21-06-2021 14:35,MUHAMMA70332030,this is big news for pakistan   one day will be the biggest exchange in the world
40,1.41E+18,21-06-2021 14:23,AbrarAh71726644,great news for pakistanis should be highlighted around the globe as the fastest bowler is supporting cry
41,1.41E+18,21-06-2021 14:15,ceekish,great news for pakistanis should be highlighted around the globe as the fastest bowler is supporting crypto in pakistan
42,1.41E+18,21-06-2021 14:05,silwarsnake1,follow me and follow back
43,1.41E+18,21-06-2021 14:01,RanaNom84269059,what do you think that pakistanis are not live in this world we are not coming from mars so show equality to everyone
44,1.41E+18,21-06-2021 14:00,nomanshma,where the hell is the news where the fastest bowler in the history of game said that he will be launching the pakistan  own exchange in collaboration with
45,1.41E+18,21-06-2021 12:51,ayyzeee7,with all those big crypto news  and the prices are still going down and sinking  manipulation
46,1.41E+18,21-06-2021 09:42,BdOX_555,my prediction has been achieved  are you interested further
47,1.41E+18,21-06-2021 08:17,Salmank07095352,heart touching moment in crypto world bring by on lunching as bouncer in crypto world
48,1.41E+18,21-06-2021 07:24,adspotco,now you can advertise on website  visit
49,1.41E+18,21-06-2021 05:58,Saqibfa87150259,the faster blower ever in the world  welcome to the world of crypto  reportfairly
50,1.41E+18,21-06-2021 05:25,NgulminthangL,china owned commercial bank allows digital yuan to cash conversions at atmsread more
51,1.41E+18,21-06-2021 00:29,ConsiliumCrypto,commerce giant is looking at as payments option  it could preview the online auctioneer  return to crypto since abandoning facebook  libra stablecoin project in
52,1.41E+18,20-06-2021 22:57,cryptowala0,baby doge coin live on pancake swap set slippage  buy here  get it to no into global    binance
53,1.41E+18,20-06-2021 22:04,KriptTeknoloji,binance please don  forget to donate on father  day
